employee_id,first_name,last_name,email,department_id,manager_id,hire_date,salary,is_active
1,Michael,Carpenter,user1@company.com,4,,2024-08-05,33001.29,True
2,Stephanie,Cook,user2@company.com,8,,2018-10-19,56785.29,True
3,Derrick,Graham,user3@company.com,18,,2023-01-15,40432.66,True
4,Edwin,Miller,user4@company.com,2,,2020-05-23,33575.67,True
5,Rachel,Hernandez,user5@company.com,8,,2022-08-01,90642.63,True
6,Robin,Medina,user6@company.com,18,,2026-02-21,53860.52,False
7,Tina,Horton,user7@company.com,14,,2019-10-18,56452.87,False
8,Leslie,Hickman,user8@company.com,9,,2025-04-23,127131.65,True
9,Laura,Velasquez,user9@company.com,6,,2024-08-01,113776.73,True
10,Ian,Tran,user10@company.com,9,,2025-03-11,48657.54,True
11,Brandon,Bishop,user11@company.com,4,2.0,2022-11-20,75591.28,True
12,John,Leblanc,user12@company.com,12,10.0,2020-04-27,61742.5,True
13,Amy,Delgado,user13@company.com,15,9.0,2025-09-19,44979.14,True
14,Ryan,Walters,user14@company.com,3,9.0,2022-04-23,65181.39,False
15,Amanda,Hart,user15@company.com,12,10.0,2019-06-04,53074.63,True
16,Andre,Walker,user16@company.com,2,11.0,2021-03-08,57347.79,True
17,Ashley,Barnes,user17@company.com,3,8.0,2019-03-15,133978.04,True
18,Tammy,Rojas,user18@company.com,9,15.0,2021-10-29,106282.13,True
19,Matthew,Rivas,user19@company.com,6,12.0,2018-09-26,72632.48,True
20,Kevin,Brown,user20@company.com,3,6.0,2021-11-25,94096.79,True
21,Christine,Hill,user21@company.com,6,15.0,2021-02-27,75534.65,False
22,Shane,Nelson,user22@company.com,8,11.0,2023-07-11,131142.23,True
23,Erica,Kaufman,user23@company.com,8,2.0,2018-06-04,126605.5,True
24,Timothy,Cruz,user24@company.com,9,3.0,2019-05-15,55317.94,False
25,Melissa,Fisher,user25@company.com,11,7.0,2021-01-05,108652.64,True
26,Brenda,Richards,user26@company.com,15,5.0,2026-02-18,61785.62,True
27,Sheri,Villegas,user27@company.com,18,18.0,2020-07-26,61528.99,False
28,Toni,Rodgers,user28@company.com,14,19.0,2021-02-07,77928.06,True
29,Kelly,Martinez,user29@company.com,5,17.0,2026-03-10,89221.9,True
30,Jennifer,Payne,user30@company.com,4,5.0,2019-08-19,105293.53,True
31,Nathan,Ramirez,user31@company.com,20,3.0,2018-10-25,76172.08,False
32,Erin,Holmes,user32@company.com,15,17.0,2023-09-26,60169.69,False
33,Peter,Davis,user33@company.com,1,8.0,2018-10-12,111805.24,False
34,Paul,Gonzalez,user34@company.com,9,22.0,2024-07-22,43386.26,True
35,Megan,Williams,user35@company.com,6,30.0,2018-06-07,30389.44,True
36,Scott,White,user36@company.com,17,12.0,2022-05-12,90921.8,True
37,William,Garcia,user37@company.com,10,33.0,2022-11-01,103076.43,True
38,Timothy,Medina,user38@company.com,12,11.0,2025-09-08,94725.48,False
39,William,Torres,user39@company.com,1,21.0,2022-01-15,88632.68,True
40,Lawrence,Mercado,user40@company.com,12,20.0,2026-02-28,58734.28,True
41,Erin,Hoffman,user41@company.com,19,6.0,2019-08-25,40278.41,True
42,Timothy,Martin,user42@company.com,3,35.0,2020-01-22,121900.13,True
43,Heather,Hull,user43@company.com,16,36.0,2023-04-10,49815.24,False
44,Christopher,Escobar,user44@company.com,20,28.0,2021-03-15,145723.55,False
45,Lisa,Zuniga,user45@company.com,7,20.0,2019-07-22,77879.08,True
46,Lisa,Castro,user46@company.com,15,34.0,2025-12-27,84178.34,True
47,Daniel,Williams,user47@company.com,8,5.0,2020-08-09,70570.27,False
48,Billy,Osborne,user48@company.com,18,15.0,2018-07-20,100612.81,True
49,Kyle,Jennings,user49@company.com,3,46.0,2021-12-25,105732.35,True
50,Kathryn,Shelton,user50@company.com,3,3.0,2024-02-12,133156.25,True
51,Roy,Ortega,user51@company.com,17,16.0,2026-02-25,63417.27,True
52,Jeffrey,Hughes,user52@company.com,7,35.0,2021-08-17,45877.42,False
53,Thomas,Paul,user53@company.com,19,31.0,2023-09-24,59159.67,True
54,Jonathan,Wong,user54@company.com,14,13.0,2024-05-09,41319.1,True
55,Jeremy,Ruiz,user55@company.com,12,28.0,2024-12-22,79332.27,True
56,Sarah,Olson,user56@company.com,4,4.0,2020-11-16,78314.55,True
57,Lisa,Woodward,user57@company.com,4,16.0,2018-12-07,52990.81,False
58,Angela,Nelson,user58@company.com,15,9.0,2024-08-23,80625.8,True
59,Harry,Schneider,user59@company.com,15,16.0,2023-02-24,134938.31,True
60,Kimberly,Wilson,user60@company.com,15,52.0,2019-06-18,133361.89,False
61,Jennifer,Rodgers,user61@company.com,4,4.0,2025-09-20,108257.39,False
62,Christine,Hill,user62@company.com,1,6.0,2023-08-30,141164.04,True
63,Chad,Downs,user63@company.com,6,27.0,2025-11-16,88276.94,True
64,Matthew,Blake,user64@company.com,13,58.0,2025-08-23,37036.25,True
65,Steve,Gilmore,user65@company.com,1,50.0,2022-10-01,61824.37,True
66,Norma,Allen,user66@company.com,10,55.0,2019-04-11,113590.98,False
67,Brooke,Shaw,user67@company.com,16,20.0,2025-12-12,52787.74,True
68,Leah,Ramos,user68@company.com,2,8.0,2024-01-22,119757.07,True
69,Dawn,Zamora,user69@company.com,2,62.0,2018-10-08,90342.05,False
70,William,Anderson,user70@company.com,6,8.0,2023-07-15,145293.47,True
71,James,Hawkins,user71@company.com,6,9.0,2021-09-28,101404.21,True
72,Mitchell,Singleton,user72@company.com,13,16.0,2019-04-23,142991.54,False
73,Janet,Lindsey,user73@company.com,8,6.0,2025-07-18,104325.78,True
74,Matthew,Edwards,user74@company.com,19,73.0,2019-09-07,92733.93,True
75,Daniel,Fuller,user75@company.com,7,41.0,2023-07-21,58642.31,True
76,Andrea,Hall,user76@company.com,5,39.0,2021-05-19,84866.95,True
77,Joseph,Martinez,user77@company.com,1,59.0,2024-01-15,104539.11,False
78,Ernest,Weiss,user78@company.com,4,10.0,2023-04-09,94516.13,False
79,Jacob,Andrews,user79@company.com,9,17.0,2025-03-03,141991.13,True
80,Amy,Richardson,user80@company.com,8,48.0,2021-03-14,64198.49,True
81,Jennifer,Lopez,user81@company.com,18,39.0,2018-05-20,103401.33,False
82,Kelly,Ortiz,user82@company.com,1,71.0,2021-11-26,65925.45,True
